material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01,2.7546285213146695,2777.777777777778,2979.065022766645,3194.938227553787,0.000502654824574367,1.3846273161489731e-05,drag-important
PbLi,0.01,2.8610916768857493,2777.777777777778,3094.202385398685,3446.6718246504884,0.000502654824574367,1.4381415349361875e-05,drag-important
PbLi,0.01,2.9716695083219946,2777.777777777778,3213.789671806322,3718.2398596592357,0.000502654824574367,1.4937240153985873e-05,drag-important
PbLi,0.01,3.086521043010717,2777.777777777778,3337.9988663146796,4011.205115346512,0.000502654824574367,1.551454693419644e-05,drag-important
PbLi,0.01,3.2058114545608856,2777.777777777778,3467.008600240959,4327.253508292119,0.000502654824574367,1.611416594310798e-05,drag-important
PbLi,0.01,3.3297123003473708,2777.777777777778,3601.004408792873,4668.203790772454,0.000502654824574367,1.6736959522142192e-05,drag-important
PbLi,0.01,3.458401768235997,2777.777777777778,3740.178997895903,5036.018017068577,0.000502654824574367,1.7383823341203456e-05,drag-important
PbLi,0.01,3.592064932844225,2777.777777777778,3884.732521333116,5432.812834429133,0.000502654824574367,1.805568768678549e-05,drag-important
PbLi,0.01,3.730894021706014,2777.777777777778,4034.8728685961046,5860.871663663864,0.000502654824574367,1.8753518799861908e-05,drag-important
PbLi,0.01,3.8750886917236347,2777.777777777778,4190.815963861036,6322.657839462901,0.000502654824574367,1.9478320265484565e-05,drag-important
PbLi,0.01,4.024856316304029,2777.777777777778,4352.78607651977,6820.828786059974,0.000502654824574367,2.0231134456088343e-05,drag-important
PbLi,0.01,4.180412283592646,2777.777777777778,4521.016143712635,7358.251309815696,0.000502654824574367,2.10130440305779e-05,drag-important
PbLi,0.01,4.34198030623367,2777.777777777778,4695.74810532673,7938.018096724646,0.000502654824574367,2.182517349135241e-05,drag-important
PbLi,0.01,4.509792743102108,2777.777777777778,4877.233251941492,8563.46550978376,0.000502654824574367,2.266869080150743e-05,drag-important
PbLi,0.01,4.684090933470462,2777.777777777778,5065.73258622199,9238.192788640079,0.000502654824574367,2.3544809064539777e-05,drag-important
PbLi,0.01,4.865125544090534,2777.777777777778,5261.5171982796055,9966.082762005146,0.000502654824574367,2.445478826897099e-05,drag-important
PbLi,0.01,5.053156929689541,2777.777777777778,5464.868655539986,10751.324192029233,0.000502654824574367,2.539993710039843e-05,drag-important
PbLi,0.01,5.2484555073989805,2777.777777777778,5676.079407678933,11598.43587921966,0.000502654824574367,2.6381614823580048e-05,drag-important
PbLi,0.01,5.451302145654736,2777.777777777778,5895.453207208576,12512.292666618918,0.000502654824574367,2.7401233237259517e-05,drag-important
PbLi,0.01,5.661988568127707,2777.777777777778,6123.305546318719,13498.153492887934,0.000502654824574367,2.8460258704543033e-05,drag-important
PbLi,0.01,5.880817773265887,2777.777777777778,6359.9641106015915,14561.691655730505,0.000502654824574367,2.956021426174783e-05,drag-important
PbLi,0.01,6.108104470051255,2777.777777777778,6605.769250312519,15709.02745981479,0.000502654824574367,3.07026818087552e-05,drag-important
PbLi,0.01,6.344175530598146,2777.777777777778,6861.074469844271,16946.76343706959,0.000502654824574367,3.188930438401802e-05,drag-important
PbLi,0.01,6.589370460244033,2777.777777777778,7126.246936119025,18282.02234203649,0.000502654824574367,3.31217885274948e-05,drag-important
PbLi,0.01,6.844041885808749,2777.777777777778,7401.668006629062,19722.488140928246,0.000502654824574367,3.440190673490816e-05,drag-important
